ref,csv_file_name,description
constraints,constraints,"The file `constraints.csv` includes the following parameter(s):"
economic_data,economic_data,"The file `economic_data.csv` includes all economic data that the simulation will use. This includes the following parameters:"
busses,energyBusses,"The file `energyBusses.csv` defines all busses required to build the energy system. It includes following parameters:"
consumption,energyConsumption,"The file `energyConsumption.csv` defines all energy demands that should be included in the energy system. It includes the following parameters:"
conversion,energyConversion,"The file `energyConversion.csv` defines the assets that convert one energy carrier into another one, eg. inverters or generators. Following parameters define them:"
production,energyProduction,"The file `energyProduction.csv` defines the assets that serve as energy sources, eg. fuel sources or PV plants. They include the following parameters:"
providers,energyProviders,"The file `energyProviders.csv` defines the energy providers of the energy system. They include the following parameters:"
storage,energyStorage,"The file `energyStorage.csv` defines the storage assets included in the energy system. It does not hold all needed parameters, but requires `storage_xx.csv` to be defined as well. The file `energyStorage.csv` includes the following parameters:"
fixcost,fixcost,"The parameters must be filled for all three columns/components namely: *distribution_grid*, *engineering* and *operation*.\nThe file `fixcost.csv` includes the following parameters:"
project_data,project_data,"The file `project_data.csv` includes the following parameters:"
simulation_settings,simulation_settings,"The file `simulation_settings.csv` includes the following parameters:"
storage_csv,storage_*,"The `*` in the storage filename is the number identifying the storage. It depends on the number of storage components (such as batteries, etc.) present in the system. For e.g., there should be two storage files named storage_01.csv and storage_02.csv if the system contains two storage components.The file `storage_xx.csv` contains the following parameters:"